ID,PerformanceRatings,SalaryIncrease,EquityIncrease,TotalCompIncrease,CompaRatioBefore,CompaRatioAfter
ID470,4,0.065,0.357,0.154,0.993,1.057
ID797,1,0,0,0,1.037,1.037
ID613,3,0,0,0,1.103,1.103
ID198,5,0.076,0.334,0.16,0.997,1.073
ID868,3,0.053,0.339,0.137,1.151,1.211
ID718,4,0.062,0.132,0.095,0.987,1.048
ID567,5,0.083,0.473,0.202,0.795,0.861
ID1000,3,0.057,0.263,0.123,0.897,0.948
ID386,3,0.044,0.18,0.089,0.964,1.006
ID186,3,0.057,0.184,0.103,1.009,1.067
ID7,5,0.081,0.1,0.106,0.969,1.048
ID853,1,0,0,0,0.88,0.88
ID217,3,0,0.383,0.096,0.984,0.984
ID771,2,0,0,0,1.004,1.004
ID639,3,0.042,0,0.042,0.917,0.955
ID262,2,0.02,0,0.02,1.045,1.066
ID522,3,0.044,0.225,0.1,0.966,1.009
ID271,3,0.05,0.091,0.072,1.104,1.159
ID741,2,0,0.062,0.016,1.168,1.168
ID793,3,0.051,0.244,0.112,0.895,0.941
ID232,5,0.081,0.752,0.269,1.065,1.151
ID683,3,0.051,0.205,0.102,1.162,1.221
ID609,3,0,0.234,0.059,0.954,0.954
ID772,3,0.045,0.238,0.105,1.015,1.061
ID393,1,0,0,0,1.163,1.163
ID663,1,0,0,0,0.905,0.905
ID58,5,0.082,0.105,0.108,1.018,1.101
ID24,5,0.077,0.305,0.153,1.075,1.157
ID993,3,0.06,0.134,0.093,0.875,0.927
ID139,3,0.045,0,0.045,0.903,0.944
ID999,5,0.08,0.1,0.105,0.963,1.04
ID580,1,0,0,0,1.129,1.129
ID815,4,0.089,0,0.089,1.108,1.207
ID540,3,0.051,0.139,0.086,1.2,1.261
ID437,3,0.047,0.202,0.098,0.936,0.98
ID605,3,0.039,0.318,0.119,1.061,1.103
ID940,3,0.044,0,0.044,0.943,0.984
ID947,3,0.05,0.207,0.101,1.2,1.26
ID739,3,0.059,0.246,0.121,0.889,0.942
ID880,3,0.059,0.153,0.097,1.127,1.194
ID388,4,0.078,0.232,0.136,1.05,1.132
ID693,5,0.097,0.448,0.209,0.9,0.987
ID573,3,0.048,0.339,0.132,0.862,0.903
ID828,4,0.058,0.222,0.114,1.06,1.121
ID678,3,0.049,0,0.049,1.021,1.07
ID341,5,0.085,0.367,0.177,1.009,1.095
ID983,4,0.089,0.64,0.249,1.056,1.15
ID218,3,0.041,0.292,0.114,0.983,1.024
ID486,3,0.04,0.059,0.054,1.147,1.193
ID508,3,0.044,0.219,0.099,0.941,0.982
ID935,3,0.043,0.196,0.092,0.96,1.001
ID495,4,0.08,0.421,0.185,1.046,1.129
ID41,3,0,0.246,0.062,1,1
ID555,3,0.054,0,0.054,0.783,0.825
ID652,2,0,0,0,1.113,1.113
ID637,3,0.069,0.255,0.133,1.041,1.114
ID319,3,0.038,0.043,0.049,1.2,1.246
ID10,1,0,0,0,1.155,1.155
ID88,3,0.069,0,0.069,0.887,0.948
ID888,4,0.077,0,0.077,1.104,1.189
ID172,5,0.095,0.355,0.184,0.748,0.819
ID193,3,0.062,0.039,0.072,0.9,0.956
ID596,4,0.081,0.497,0.205,1.005,1.087
ID792,2,0,0,0,0.977,0.977
ID322,5,0.089,0.43,0.197,1.037,1.13
ID325,3,0.026,0,0.026,0.972,0.998
ID440,3,0.055,0,0.055,0.864,0.911
ID147,3,0.054,0.202,0.104,1.163,1.226
ID545,3,0.058,0.105,0.084,0.988,1.045
ID595,3,0.039,0.182,0.085,1.125,1.169
ID427,3,0.047,0,0.047,0.987,1.034
ID361,4,0,0.282,0.07,1.105,1.105
ID327,3,0.038,0.233,0.097,1.107,1.149
ID988,2,0,0,0,0.954,0.954
ID844,3,0.069,0,0.069,0.933,0.997
ID134,3,0.059,0,0.059,0.83,0.879
ID823,4,0.086,0.281,0.157,0.955,1.038
ID141,4,0.087,0.357,0.176,1.168,1.269
ID751,3,0.052,0.345,0.138,0.864,0.909
ID368,4,0.081,0,0.081,0.973,1.052
ID112,4,0.075,0,0.075,0.934,1.004
ID503,1,0,0,0,0.764,0.764
ID157,3,0.055,0.058,0.069,0.816,0.861
ID37,4,0.081,0.254,0.144,1.2,1.297
ID255,4,0.087,0.361,0.177,0.961,1.045
ID921,1,0,0,0,0.86,0.86
ID61,2,0,0,0,1.112,1.112
ID870,5,0.086,0.368,0.178,0.985,1.07
ID399,3,0.048,0.164,0.089,1.189,1.246
ID968,1,0,0,0,1.027,1.027
ID215,3,0.045,0.246,0.107,1.048,1.095
ID179,3,0.051,0.119,0.081,1.001,1.052
ID154,1,0,0,0,1.059,1.059
ID872,3,0.042,0.187,0.089,1.07,1.115
ID960,3,0.052,0.14,0.087,0.788,0.828
ID660,1,0,0,0,1.094,1.094
ID43,5,0.068,0.42,0.173,1.02,1.089
ID261,4,0.067,0.235,0.126,1.014,1.082
ID897,3,0.045,0.35,0.132,0.832,0.87
ID617,3,0.049,0.252,0.113,1.084,1.138
ID445,3,0.033,0,0.033,1.097,1.133
ID46,1,0,0,0,1.08,1.08
ID370,2,0,0,0,0.892,0.892
ID74,5,0.059,0.343,0.145,1.064,1.127
ID57,3,0.053,0,0.053,0.894,0.941
ID811,1,0,0,0,1.028,1.028
ID995,4,0.064,0.312,0.141,0.849,0.902
ID390,4,0.078,0.28,0.148,0.914,0.985
ID749,3,0.025,0,0.025,0.831,0.852
ID469,4,0.074,0.234,0.133,1.045,1.123
ID532,3,0.062,0.298,0.136,1.03,1.093
ID314,4,0.071,0.285,0.143,1.102,1.18
ID173,4,0.073,0.1,0.098,0.887,0.951
ID552,3,0.061,0.403,0.162,0.907,0.962
ID694,4,0.07,0.488,0.192,0.842,0.901
ID871,5,0.093,0.214,0.146,0.945,1.032
ID448,4,0.096,0.379,0.191,0.969,1.062
ID720,3,0.042,0.195,0.091,0.934,0.973
ID122,3,0.056,0.399,0.156,0.716,0.8
ID294,3,0.046,0.149,0.083,0.989,1.034
ID48,4,0.065,0,0.065,1.051,1.12
ID504,3,0.055,0.158,0.095,0.947,0.999
ID363,5,0.05,0.1,0.075,1.171,1.23
ID454,4,0.083,0.288,0.155,0.979,1.06
ID417,3,0.038,0.186,0.085,1.006,1.044
ID140,3,0.04,0.19,0.087,0.744,0.8
ID824,3,0.055,0.141,0.09,1.155,1.219
ID518,2,0,0,0,1.197,1.197
ID23,3,0.039,0,0.039,1.039,1.08
ID744,2,0,0,0,0.881,0.881
ID589,3,0.049,0.373,0.142,0.872,0.914
ID114,3,0.072,0.224,0.128,0.946,1.015
ID529,3,0.052,0.273,0.12,0.836,0.879
ID548,4,0.068,0.36,0.158,1.019,1.088
ID820,5,0.084,0.103,0.109,1.137,1.232
ID542,2,0,0,0,0.985,0.985
ID499,1,0,0,0,0.951,0.951
ID951,3,0.038,0.359,0.128,1.086,1.128
ID978,3,0.055,0.19,0.102,0.825,0.87
ID273,2,0,0,0,1.06,1.06
ID177,3,0.057,0.156,0.097,0.959,1.014
ID905,5,0,0.2,0.05,1.132,1.132
ID826,2,0,0,0,0.811,0.811
ID621,3,0.042,0,0.042,0.951,0.991
ID69,1,0,0,0,0.987,0.987
ID161,4,0.077,0.1,0.102,1.058,1.139
ID142,3,0.057,0,0.057,1.089,1.151
ID169,3,0.049,0.251,0.112,1.036,1.087
ID748,3,0.054,0.125,0.085,0.885,0.933
ID185,3,0.045,0.109,0.072,1.065,1.113
ID406,2,0,0,0,1.052,1.052
ID634,3,0.031,0.189,0.078,1.161,1.196
ID630,4,0.068,0.245,0.129,1.065,1.137
ID423,3,0.049,0.386,0.145,1.003,1.052
ID158,5,0.071,0.438,0.181,0.997,1.068
ID195,4,0.093,0.567,0.235,0.805,0.879
ID150,4,0.08,0.406,0.181,1.169,1.262
ID260,3,0.058,0,0.058,0.859,0.91
ID611,4,0.071,0.211,0.124,1.067,1.143
ID149,2,0,0.074,0.018,0.93,0.93
ID969,4,0.082,0.558,0.221,0.873,0.944
ID855,3,0.039,0.111,0.067,1.004,1.043
ID956,5,0.083,0.616,0.237,0.989,1.071
ID356,3,0.05,0,0.05,0.906,0.952
ID926,3,0.047,0.212,0.1,1.099,1.15
ID51,3,0.053,0.142,0.088,0.867,0.913
ID962,4,0.08,0.197,0.13,0.979,1.058
ID126,4,0.066,0,0.066,0.885,0.943
ID447,3,0.049,0.231,0.107,1.013,1.063
ID49,3,0.045,0,0.045,0.872,0.911
ID237,4,0.086,0.39,0.184,0.952,1.033
ID615,4,0.08,0.31,0.157,1.013,1.094
ID524,3,0.049,0.076,0.068,1.2,1.258
ID285,4,0.071,0.236,0.13,0.872,0.934
ID163,4,0.088,0,0.088,0.95,1.033
ID707,3,0.033,0,0.033,0.998,1.031
ID302,3,0.052,0.058,0.066,0.959,1.008
ID641,2,0,0,0,1,1
ID476,4,0.081,0.1,0.106,1.086,1.174
ID530,4,0.06,0.569,0.202,0.918,0.973
ID785,5,0.079,0.171,0.121,1.107,1.194
ID565,4,0.08,0.404,0.181,1.096,1.184
ID743,4,0.067,0.209,0.119,0.921,0.982
ID396,3,0.038,0.278,0.107,1.101,1.143
ID726,3,0.072,0.19,0.119,1.061,1.137
ID919,2,0,0,0,1.149,1.149
ID535,2,0,0,0,0.706,0.706
ID130,5,0.09,0.262,0.156,1.039,1.133
ID256,2,0,0,0,1.094,1.094
ID754,3,0.046,0.107,0.072,0.877,0.917
ID102,4,0.085,0.347,0.172,0.874,0.948
ID775,3,0.062,0,0.062,1.12,1.189
ID856,4,0.05,0.176,0.094,0.993,1.043
ID303,5,0.087,0.312,0.165,1.077,1.171
ID547,3,0.06,0,0.06,0.953,1.01
ID959,4,0.05,0.268,0.117,1.047,1.1
ID922,1,0,0,0,0.945,0.945
ID966,4,0.08,0.307,0.157,0.848,0.916
ID344,4,0.08,0.244,0.141,0.884,0.955
ID155,5,0.084,0.217,0.138,1.176,1.275
ID432,2,0,0,0,0.853,0.853
ID908,2,0,0,0,0.967,0.967
ID97,3,0.04,0.239,0.099,1.023,1.064
ID668,3,0.074,0.303,0.149,0.952,1.023
ID878,4,0.096,0.284,0.167,1.036,1.135
ID560,4,0.085,0.427,0.192,1.111,1.205
ID854,3,0,0.266,0.066,1.13,1.13
ID449,5,0.074,0.394,0.173,0.717,0.8
ID523,1,0,0,0,1.126,1.126
ID208,4,0.076,0.196,0.125,0.814,0.876
ID30,2,0,0,0,0.854,0.854
ID459,4,0.084,0.312,0.162,0.816,0.884
ID606,3,0.055,0.38,0.15,0.941,0.992
ID747,3,0.045,0.241,0.106,1.2,1.254
ID409,3,0.044,0,0.044,1.127,1.177
ID376,3,0.048,0.148,0.085,1.006,1.054
ID283,4,0.074,0.314,0.153,1.13,1.214
ID778,4,0.096,0.298,0.171,0.972,1.065
ID453,2,0,0.091,0.023,0.979,0.979
ID194,3,0.055,0.122,0.086,0.949,1.002
ID701,2,0,0,0,0.914,0.914
ID353,1,0,0,0,1.004,1.004
ID257,3,0.049,0.241,0.109,0.857,0.899
ID997,5,0.071,0.538,0.205,0.977,1.047
ID791,3,0.039,0.283,0.11,0.865,0.899
ID581,2,0,0,0,0.912,0.912
ID835,4,0.06,0.395,0.159,1.074,1.139
ID47,2,0,0,0,0.756,0.756
ID576,3,0.024,0.165,0.065,1.095,1.122
ID296,3,0.051,0,0.051,1.012,1.064
ID380,4,0.063,0.435,0.172,0.975,1.036
ID965,1,0,0,0,0.866,0.866
ID842,3,0.038,0.156,0.077,0.919,0.954
ID592,3,0.049,0.246,0.111,1.025,1.075
ID35,3,0.051,0.139,0.086,0.93,0.978
ID809,3,0.065,0.291,0.138,0.925,0.985
ID893,5,0.076,0.378,0.171,0.851,0.916
ID272,3,0.048,0.277,0.117,0.702,0.8
ID358,3,0.049,0.011,0.052,0.984,1.032
ID709,3,0.058,0.325,0.14,1.082,1.145
ID728,2,0.001,0,0.001,1.2,1.201
ID70,3,0.041,0.195,0.089,1.086,1.13
ID934,3,0.046,0.12,0.076,1.028,1.076
ID244,3,0.05,0.124,0.081,0.927,0.974
ID558,3,0.046,0.103,0.072,0.751,0.8
ID603,4,0.076,0.216,0.13,1.125,1.211
ID889,4,0.087,0.44,0.197,0.934,1.015
ID105,3,0.07,0.181,0.115,1.15,1.23
ID465,3,0.048,0.043,0.059,0.812,0.851
ID777,4,0.091,0.349,0.179,0.94,1.026
ID211,4,0.08,0.288,0.152,0.941,1.016
ID240,3,0.074,0.194,0.123,0.899,0.965
ID546,4,0.073,0.18,0.118,0.863,0.926
ID238,3,0.066,0.17,0.108,1.033,1.101
ID685,3,0.052,0.065,0.068,0.961,1.011
ID882,4,0.064,0.235,0.122,0.958,1.019
ID849,3,0.05,0.158,0.089,1.014,1.064
ID587,3,0.055,0,0.055,1.047,1.104
ID219,3,0.048,0,0.048,1.04,1.09
ID781,3,0.066,0,0.066,1.128,1.202
ID250,3,0.041,0.067,0.057,0.862,0.897
ID13,3,0.06,0.314,0.139,0.867,0.919
ID42,3,0.039,0.227,0.096,0.967,1.005
ID297,3,0.069,0,0.069,0.954,1.02
ID266,2,0,0,0,1.042,1.042
ID108,3,0.045,0.346,0.131,0.792,0.827
ID430,3,0.047,0.307,0.124,0.943,0.987
ID335,3,0.048,0.076,0.067,0.966,1.012
ID160,3,0.049,0.226,0.106,0.991,1.04
ID73,3,0.056,0,0.056,0.822,0.868
ID3,3,0.06,0.24,0.12,1.002,1.061
ID519,2,0,0,0,0.95,0.95
ID308,3,0.041,0.344,0.128,1.177,1.226
ID66,2,0,0.04,0.01,0.938,0.938
ID689,3,0.063,0.135,0.096,0.836,0.888
ID365,2,0.005,0,0.005,1.046,1.051
ID456,2,0,0,0,1.008,1.008
ID675,4,0.097,0.541,0.232,1.062,1.166
ID684,3,0.04,0.214,0.093,0.819,0.852
ID451,4,0.08,0,0.08,0.974,1.052
ID680,4,0.08,0,0.08,0.863,0.932
ID722,3,0.05,0.261,0.116,0.856,0.899
ID904,2,0,0,0,1.1,1.1
ID939,4,0.085,0,0.085,1.178,1.279
ID407,4,0.091,0.231,0.149,0.94,1.026
ID90,3,0.074,0.207,0.125,1.05,1.127
ID556,3,0.07,0,0.07,1.003,1.074
ID979,3,0.05,0,0.05,0.802,0.842
ID71,2,0.017,0.195,0.066,1.04,1.058
ID466,3,0.041,0,0.041,0.946,0.985
ID927,4,0.07,0.357,0.159,0.835,0.894
ID690,3,0.045,0,0.045,0.931,0.973
ID795,3,0.059,0.305,0.136,1.168,1.237
ID654,1,0,0,0,1.104,1.104
ID898,3,0.047,0.307,0.124,1.133,1.187
ID783,3,0.047,0.15,0.084,0.776,0.812
ID891,3,0.041,0.091,0.064,0.875,0.911
ID843,4,0.08,0.319,0.159,1.086,1.172
ID1,2,0,0,0,1.048,1.048
ID818,2,0.016,0,0.016,0.833,0.846
ID292,2,0,0,0,1.002,1.002
ID698,2,0,0.076,0.019,1.023,1.023
ID165,2,0.004,0,0.004,1.155,1.16
ID974,5,0.065,0.289,0.138,0.99,1.054
ID374,2,0,0,0,0.803,0.803
ID782,3,0.047,0.274,0.115,1.004,1.051
ID411,3,0.028,0.252,0.091,1.093,1.123
ID989,3,0.066,0.249,0.128,0.91,0.97
ID700,5,0.072,0.1,0.097,1.154,1.238
ID392,2,0,0,0,1.08,1.08
ID349,2,0,0,0,0.904,0.904
ID635,5,0.097,0.662,0.263,0.759,0.833
ID12,3,0.07,0.259,0.134,0.898,0.961
ID146,3,0.06,0.227,0.117,1.016,1.077
ID513,4,0.073,0.414,0.177,1.2,1.288
ID803,2,0.021,0.117,0.05,0.796,0.813
ID143,1,0,0,0,0.999,0.999
ID382,3,0.056,0,0.056,0.703,0.8
ID746,3,0.047,0.244,0.108,0.886,0.928
ID318,3,0.049,0.175,0.093,1.129,1.184
ID740,3,0.043,0,0.043,1.175,1.225
ID207,3,0.059,0.144,0.095,1.152,1.221
ID225,3,0.047,0,0.047,0.878,0.92
ID850,4,0.084,0.41,0.187,1.02,1.106
ID276,3,0.049,0,0.049,0.816,0.856
ID952,4,0.08,0.2,0.13,1.088,1.174
ID9,2,0,0,0,0.82,0.82
ID727,3,0.068,0,0.068,0.847,0.904
ID248,3,0.047,0.188,0.094,1.08,1.13
ID933,4,0.087,0.231,0.144,1.017,1.105
ID420,2,0,0,0,0.881,0.881
ID655,1,0,0,0,0.7,0.7
ID925,3,0.063,0.194,0.112,1.082,1.15
ID107,3,0.058,0.329,0.14,0.992,1.05
ID526,5,0.065,0.296,0.139,0.986,1.05
ID736,4,0.078,0,0.078,0.853,0.919
ID31,2,0,0.183,0.046,1.2,1.2
ID497,3,0.042,0,0.042,0.973,1.014
ID332,3,0.075,0.227,0.132,1.1,1.182
ID699,3,0.049,0.205,0.1,1.043,1.094
ID541,3,0.058,0,0.058,1.054,1.115
ID379,4,0.09,0.512,0.218,0.851,0.927
ID424,3,0.033,0,0.033,1.069,1.103
ID201,3,0.062,0,0.062,0.887,0.942
ID235,3,0.052,0.192,0.1,0.904,0.95
ID359,2,0,0.12,0.03,1.2,1.2
ID691,4,0.083,0.306,0.16,0.74,0.802
ID19,2,0,0,0,0.997,0.997
ID18,4,0.078,0.382,0.174,1.028,1.109
ID646,3,0.041,0.173,0.084,1.132,1.178
ID766,4,0.088,0.286,0.159,1.068,1.161
ID289,3,0.037,0.25,0.1,1.132,1.174
ID661,4,0.096,0,0.096,0.996,1.091
ID212,3,0.061,0.185,0.107,0.836,0.887
ID525,4,0.076,0.386,0.172,1.2,1.291
ID488,3,0.05,0,0.05,1.002,1.053
ID269,5,0.09,0.1,0.115,0.865,0.942
ID181,3,0.039,0.284,0.111,1.111,1.155
ID822,3,0.07,0.101,0.095,1.102,1.178
ID259,2,0,0,0,1.061,1.061
ID144,4,0.065,0.39,0.163,0.794,0.846
ID676,4,0.054,0.541,0.189,1.107,1.167
ID696,3,0.067,0.421,0.172,0.991,1.058
ID599,3,0.047,0.277,0.116,0.951,0.995
ID101,4,0.05,0.128,0.082,1.031,1.082
ID464,4,0.089,0.432,0.197,1.032,1.124
ID865,4,0.083,0.1,0.108,0.845,0.915
ID230,4,0.068,0.181,0.113,1.039,1.11
ID132,4,0.09,0.314,0.169,1.199,1.3
ID333,2,0,0,0,1.012,1.012
ID401,3,0.055,0,0.055,1.09,1.149
ID938,3,0.051,0,0.051,0.7,0.8
ID461,4,0.068,0.281,0.138,0.95,1.015
ID798,2,0,0,0,0.988,0.988
ID903,1,0,0,0,1.126,1.126
ID769,4,0.066,0.424,0.172,0.986,1.052
ID98,5,0.069,0.38,0.164,1.13,1.209
ID554,3,0.051,0.26,0.116,1.003,1.055
ID628,1,0,0,0,1.062,1.062
ID274,3,0,0.015,0.004,0.847,0.847
ID626,3,0.041,0.045,0.052,0.964,1.004
ID425,3,0.058,0,0.058,1.2,1.269
ID103,3,0.051,0.128,0.083,0.866,0.91
ID415,1,0,0,0,0.756,0.756
ID986,4,0.087,0,0.087,0.894,0.972
ID909,3,0.032,0.34,0.117,1.2,1.238
ID679,3,0.044,0.376,0.138,1.164,1.215
ID81,3,0,0.166,0.042,0.948,0.948
ID89,3,0.059,0.027,0.066,0.79,0.837
ID614,1,0,0,0,0.942,0.942
ID516,1,0,0,0,0.897,0.897
ID287,3,0.061,0.134,0.094,0.935,0.992
ID435,4,0.083,0.1,0.108,0.831,0.9
ID805,3,0.04,0.157,0.079,1.198,1.246
ID901,4,0.092,0.39,0.19,1.172,1.28
ID439,2,0,0,0,0.937,0.937
ID579,4,0.084,0.135,0.118,1.103,1.196
ID601,3,0.043,0.442,0.154,0.955,0.996
ID384,5,0.068,0.529,0.2,1.007,1.076
ID618,2,0,0,0,1.082,1.082
ID457,5,0.086,0.199,0.136,1.127,1.225
ID290,2,0,0,0,1.189,1.189
ID537,3,0.046,0,0.046,1.06,1.109
ID226,3,0.056,0,0.056,0.958,1.012
ID93,3,0.063,0,0.063,0.913,0.971
ID11,3,0.048,0.261,0.113,1.106,1.159
ID56,3,0.054,0.095,0.078,0.909,0.958
ID527,5,0.084,0.45,0.197,0.793,0.86
ID264,3,0.041,0.234,0.1,1.048,1.091
ID79,3,0.064,0.25,0.127,1.134,1.207
ID216,2,0,0,0,1.104,1.104
ID450,1,0,0,0,1.096,1.096
ID471,3,0.041,0.169,0.083,1.2,1.249
ID799,3,0.035,0,0.035,1.05,1.086
ID863,3,0,0,0,0.934,0.934
ID575,4,0.079,0.11,0.107,1.168,1.26
ID753,2,0,0,0,1.079,1.079
ID687,3,0,0,0,1.052,1.052
ID703,5,0.066,0.1,0.091,0.934,0.995
ID734,3,0.059,0.19,0.106,1.023,1.082
ID971,5,0.086,0.25,0.148,1.035,1.124
ID892,3,0.042,0,0.042,0.946,0.985
ID512,3,0,0.229,0.057,1.2,1.2
ID570,3,0.05,0,0.05,0.978,1.028
ID263,3,0,0.14,0.035,1.013,1.013
ID551,3,0.048,0.088,0.07,1.2,1.258
ID830,4,0.069,0.1,0.094,0.919,0.982
ID67,3,0.05,0.308,0.127,0.931,0.978
ID270,3,0.054,0.178,0.098,1.026,1.081
ID53,3,0.044,0.021,0.049,0.894,0.933
ID300,5,0.088,0.255,0.152,1.036,1.127
ID723,3,0.04,0.227,0.097,0.903,0.939
ID463,3,0.042,0.152,0.08,0.858,0.894
ID85,5,0.072,0.315,0.15,1.022,1.096
ID907,3,0.058,0.137,0.093,1.059,1.121
ID426,3,0.059,0.267,0.126,0.862,0.913
ID474,3,0.06,0,0.06,0.986,1.046
ID346,3,0.033,0.285,0.104,1.064,1.1
