ID,PerformanceRatings,Engagement,Rewards,Accomplishment,ManagerRelations,Goals,PeerSupport
ID977,4,6.6,4.5,8.8,8.3,4.7,8.5
ID236,3,7.2,1.9,10,6.7,9,7.9
ID265,1,5.9,9.2,7.9,8.8,5,10
ID123,3,8.6,7.1,9.2,1.9,9.8,6.8
ID111,3,5.6,7.6,8.1,5.3,8.9,10
ID190,2,9,4.4,9,3.4,3.2,9.6
ID894,5,9.3,8.6,7.9,8.1,9.1,10
ID607,4,5.2,7,6.1,2.9,9.6,9.4
ID330,3,9.6,7.3,8.3,6.8,10,6.5
ID833,3,9.9,7,10,5.6,2.6,5.4
ID460,3,2.7,3.9,4.6,5.4,6.6,7
ID858,3,4.4,5.5,10,4.3,0,4.1
ID810,2,1.7,7.1,7.6,3.7,0,9.4
ID808,3,10,5.8,8.4,2,6.1,6.8
ID360,3,9.6,7.7,5.1,5.5,5.8,6.9
ID280,4,7.4,10,8.6,8.3,7,10
ID715,4,9.4,8,7.6,5.3,10,10
ID352,3,10,5.8,8.1,6.9,4.4,6.7
ID345,4,8.4,9.4,4.2,9.8,4.7,9.5
ID851,3,9.3,8.3,1.9,4.6,8.4,8.1
ID932,3,7.6,4.9,7.3,5.7,9.3,7.3
ID625,3,6.5,10,9.4,4.4,10,7.6
ID958,3,10,5.3,9.1,7,1,7
ID336,5,10,10,10,8.1,9.2,10
ID323,3,8.7,7,5.1,7.5,1.4,10
ID298,4,4.7,8.4,7.8,1.7,9.3,8.6
ID342,3,6.1,5.8,10,9,4.1,9.9
ID834,3,6.6,3.4,7.4,6.3,10,7.5
ID716,3,5,6.7,10,6.3,8.6,7
ID806,5,9.4,8.8,5.7,9.2,4.6,10
ID222,3,7.1,9.3,7.9,6.1,6,10
ID992,2,0.8,2.8,8,5.2,4.7,8.1
ID731,1,10,5.2,6.5,9.2,6.7,3.8
ID948,4,10,8,10,3.7,8.1,10
ID608,4,9.9,8.2,7,5.6,7.7,3
ID293,3,7.4,2.6,9.6,5.9,7.2,10
ID436,3,8.9,4.8,5.9,4.2,9.6,6.7
ID534,3,10,4.9,5.5,6.9,5.5,10
ID183,3,9.5,6.7,10,6.2,9.7,9.3
ID63,2,3.9,9,1,5.6,4.8,8.6
ID438,4,10,9.2,9.3,2.7,6.5,6.1
ID191,5,10,5.4,10,7.5,5,6.9
ID651,3,5.9,5.3,7.8,5.2,9.3,9.1
ID234,5,9.5,6.5,4.5,10,4,7.3
ID514,5,7.3,6.1,9.6,6.3,6.1,3.9
ID929,3,7.6,2.9,5.9,8,7.6,9.2
ID733,5,6.6,5.4,5.1,6.6,6.8,7.2
ID128,2,7,3.7,9.2,6.5,10,7.7
ID837,1,0.4,5.2,6.3,10,5.1,7
ID470,4,8.5,10,7.6,6.4,6.9,7.9
ID797,1,1.9,0.9,4.9,7,0.4,10
ID613,3,5.3,3.2,4.4,5.1,5.8,7.3
ID198,5,8.8,4,10,10,3.2,8
ID868,3,6.9,0,2.1,6,6.8,3.5
ID718,4,9.4,7,8.4,4.8,4.8,10
ID567,5,9.5,7.4,9.8,5.6,4.8,7.5
ID1000,3,5.9,2.8,10,9.3,10,4
ID386,3,4.6,5.4,9,8.1,2.6,4.4
ID186,3,4.2,7.9,7.6,8.8,7.7,1.3
ID7,5,8.3,8.2,9.6,8,5.8,8.5
ID853,1,8.3,3.1,3.2,9.2,4.8,4.8
ID217,3,9,6.7,7.4,6.1,7.4,3.3
ID771,2,6,4,10,10,3.2,8.5
ID639,3,6.8,7.1,6,5.9,6.9,10
ID262,2,8.7,8.1,5.6,8.9,6,5.9
ID522,3,10,8.6,8.4,6.2,7.5,5.4
ID271,3,6.2,8.1,7.6,1.7,6.4,4.9
ID741,2,0,6,4.8,10,5.2,7.7
ID793,3,1.4,5.4,2.1,4.6,5.3,6.1
ID232,5,8.8,5.8,10,6.9,4.2,5
ID683,3,7.5,10,7.2,10,3.4,8.4
ID609,3,8.9,5.1,7.1,6.2,6.7,7.7
ID772,3,8.4,4.5,9.1,10,9.9,8.7
ID393,1,10,6.8,7.6,5.9,9.6,8.7
ID663,1,8.2,9.7,8.2,3.5,3.2,6
ID58,5,9.2,10,6.6,6.2,10,5
ID24,5,7.8,9,7.5,7.3,7.8,10
ID993,3,6.8,2.6,7.1,0.9,9.7,9.3
ID139,3,9.1,3.6,6.7,9.5,10,7.9
ID999,5,7.4,6.4,9.6,8.5,10,9.2
ID580,1,9.6,10,5.1,8.2,4.5,2.4
ID815,4,10,2.7,1.4,6.2,4.7,6.8
ID540,3,8.8,8.1,8.7,2.2,8.2,9.5
ID437,3,10,6.7,7.2,6.8,6.3,7.2
ID605,3,10,8,5.8,7.8,3.9,7.3
ID940,3,7.5,4.6,4.1,3.5,6.3,5.4
ID947,3,7.3,7.5,9.4,6.1,8.5,9.6
ID739,3,4.6,10,4.4,8.5,2.8,10
ID880,3,6.2,8.9,10,7.6,4.1,6.4
ID388,4,10,2.6,6.2,3.9,6.2,6.8
ID693,5,10,0.5,4.3,4.4,7.5,8.9
ID573,3,5.4,7.8,5.6,4.5,1.5,7.1
ID828,4,5.2,6.4,6.8,9.8,5.2,9.8
ID678,3,10,9,6.3,4.2,9.6,5.3
ID341,5,7,2.2,9.1,8.9,6.5,10
ID983,4,8,6.5,6.5,9.6,4.7,8.1
ID218,3,9.8,6.3,7.5,6.1,10,7.1
ID486,3,5.5,7,5.4,4.6,5.8,6.5
ID508,3,10,1.6,4.7,7,6.6,3.2
ID935,3,10,6.3,9.6,8.4,3.5,10
ID495,4,7.6,10,5.2,3,1.7,9.8
ID41,3,2.9,5.8,5.8,7,4.4,7.6
ID555,3,5.9,4.3,9.9,7.6,6.6,9.3
ID652,2,4,7.8,5.4,4.5,2.3,10
ID637,3,9.6,9.8,6.9,2.9,8.7,10
ID319,3,3.8,9.5,8.8,0,5.8,7.9
ID10,1,8,9.2,3.6,10,10,10
ID88,3,7.6,8.8,1.4,0,9,9.6
ID888,4,5,8.8,10,10,8.8,10
ID172,5,9.7,7.6,10,9.5,4.8,10
ID193,3,10,6.6,8.8,4.2,2.1,7.2
ID596,4,10,8,7.7,6.4,0.7,10
ID792,2,6.9,10,7.4,9.1,5.6,10
ID322,5,10,1.9,8.6,6.5,7.4,7.8
ID325,3,6,7.2,10,4.4,3.6,5.1
ID440,3,9.2,8.8,8.4,4.9,8.8,5.8
ID147,3,5.4,4,9.3,9,10,4.9
ID545,3,5.9,3.7,5,6,7.7,7.8
ID595,3,7.4,0,5.2,9.7,4.4,3.3
ID427,3,7.8,5.2,9,6.3,9.7,3.1
ID361,4,8.6,3.2,8.1,5.7,6.1,6.8
ID327,3,6.3,8.4,9.1,4.1,5.1,4.6
ID988,2,8.7,5,5.6,3.7,4.9,10
ID844,3,6.3,6.7,2.6,3.4,3.3,10
ID134,3,7.8,4,10,10,7.2,9.6
ID823,4,7.6,7.4,6.9,7.7,10,6.5
ID141,4,5.6,7.6,3.4,5.8,1.7,9.3
ID751,3,6,10,10,7.8,10,10
ID368,4,8.2,8.3,4.7,6.9,3.8,5.5
ID112,4,10,10,6.6,7.9,4.3,7.9
ID503,1,8.5,10,6.4,7.6,3.2,7.7
ID157,3,6.9,4,6.7,2,8.6,9.8
ID37,4,7.9,4.7,10,8,4.1,10
ID255,4,6.1,4,6.1,2.2,4.2,8.9
ID921,1,3.7,8.7,4.1,10,6.2,10
ID61,2,4.8,4.7,1.6,7.5,7.1,7.9
ID870,5,6.6,2.9,6.7,5.3,2.5,10
ID399,3,8.6,0,7.3,7.9,5,7
ID968,1,10,8.1,4.7,3.2,9.7,8.6
ID215,3,4.5,6.9,2.1,8.1,3.4,10
ID179,3,10,5.3,4.3,7.2,4.5,4.9
ID154,1,9.3,10,5.3,8.8,7.6,6.8
ID872,3,1.6,5.1,2,7.9,5.5,10
ID960,3,8.7,2.8,10,5.9,3.7,9
ID660,1,7.3,4.4,6.2,4.7,10,9.6
ID43,5,10,8.4,9.3,4.7,6.1,7.2
ID261,4,5.7,3.3,10,9.3,5.9,9.3
ID897,3,6.8,7.7,4.2,9.9,4.7,9.2
ID617,3,4.6,10,4.9,8.3,5.3,8.1
ID445,3,10,6.4,10,9.7,3,9.2
ID46,1,8.5,6.5,5.8,9.8,6.7,8.6
ID370,2,6.8,5.5,4.5,6.6,2.8,4.6
ID74,5,9.4,9.5,6.5,10,1.6,7.6
ID57,3,7,4.6,8.4,5,5.5,9.3
ID811,1,5.1,9.5,5.5,10,5.6,8.5
ID995,4,8.5,3.9,7.9,7.8,6.5,8.5
ID390,4,6.4,8.5,9.9,5,10,8.8
ID749,3,8,7.9,7.7,6.6,7.1,7.3
ID469,4,7,8.8,6.6,5.6,10,10
ID532,3,7.4,4.5,9.6,6.8,5,10
ID314,4,4,5.4,5,4.4,10,8.1
ID173,4,9.1,6.1,6.5,10,6.5,10
ID552,3,1.3,8.3,5.2,8.8,6.1,8.6
ID694,4,10,3.8,3.9,8.1,5.4,4.6
ID871,5,10,7.2,6.3,9,4.2,5.4
ID448,4,6.3,8.1,10,0,4.1,9.6
ID720,3,9,10,7,4.3,7,9.1
ID122,3,6.5,5.2,10,7.4,3.4,7.3
ID294,3,8.8,8.2,5.2,7.5,7.6,6.4
ID48,4,5.3,5.3,10,5,2.6,8
ID504,3,4.9,3.6,5,8.5,5.9,10
ID363,5,9.6,7.6,10,5.5,7.2,5.7
ID454,4,5.6,7.3,6.2,4.1,1.5,9
ID417,3,7.1,5.1,4.4,6.9,5.6,8.3
ID140,3,10,6.6,10,6.6,6.1,7.6
ID824,3,7.9,6.3,6.9,6.2,5.9,6.3
ID518,2,3.3,6.2,8.5,8.4,4.8,7.1
ID23,3,8.6,9.7,6.3,4.2,10,7.2
ID744,2,8.2,7.1,2.2,7,8.4,8.6
ID589,3,5.5,5.8,7.6,10,9.4,10
ID114,3,9.2,10,7.5,4.9,10,10
ID529,3,7.3,10,9.5,0.2,6.9,10
ID548,4,9.3,3.5,6.1,8.2,2.2,10
ID820,5,7,9.3,10,9.6,5.9,10
ID542,2,1.5,7.4,4.7,1.6,6.4,7.5
ID499,1,6,5.3,6.2,3.8,7.2,7.7
ID951,3,9.6,4.3,9.3,8.7,0,5.9
ID978,3,4.7,9.3,1.9,10,4.3,6.9
ID273,2,6.3,7.1,5.6,10,3.6,6.6
ID177,3,6.6,9.6,2.4,5.5,8.7,10
ID905,5,8.9,5.1,10,7,10,3.6
ID826,2,6.1,6.8,6.6,5.9,10,3.3
ID621,3,6.2,3.4,7.4,5.6,8.6,8.6
ID69,1,6,6.2,5.1,10,5.8,10
ID161,4,4.1,7.8,6.4,3.6,9.5,9
ID142,3,7.9,4.3,8.3,2.3,10,9.2
ID169,3,4.5,3.8,3.5,6.9,2.2,7.5
ID748,3,10,6.9,8.7,4.2,8.6,6.9
ID185,3,6.4,10,4.8,6.8,8.4,5.8
ID406,2,9.3,0.4,7.6,2.7,6,6.9
ID634,3,10,5.7,6.1,7.6,4,10
ID630,4,5.7,7.7,5.7,9,9.2,9.7
ID423,3,10,6.1,6.8,6.3,6,9.1
ID158,5,9.4,5,9,5.6,8.5,10
ID195,4,7.1,3.2,6.8,6.1,2.2,10
ID150,4,6.8,10,7.6,2.9,10,8
ID260,3,6.9,4.4,8.5,6,3.7,8.7
ID611,4,9.7,3.5,9.3,3.8,6.3,5.7
ID149,2,6.1,10,4.5,6.2,4.3,10
ID969,4,5.5,8.6,8.5,1.9,10,6.6
ID855,3,1.1,10,3.5,9.7,3.8,9.1
ID956,5,8.6,8.5,6.8,10,3.8,9.8
ID356,3,4.6,8.8,7.6,7.6,5.3,5.6
ID926,3,7.3,8,6.6,8.8,2.7,7.4
ID51,3,7.7,1.7,9.9,3.8,7.7,8.8
ID962,4,10,8.1,10,4.8,5.1,10
ID126,4,7.7,8.4,8.5,6,3.5,5.6
ID447,3,7.2,7.3,6.7,7.4,9.1,8.6
ID49,3,9.6,7.9,7.5,3,5.9,10
ID237,4,5.9,3.3,8.5,4.1,0,3.9
ID615,4,7.4,4.5,9.4,8.9,3.1,5.5
ID524,3,7.6,6.6,6.2,5.5,9.5,6.2
ID285,4,7.2,10,8,6.2,10,8.1
ID163,4,10,6.7,7.8,5.9,7.4,10
ID707,3,7,4.1,4.3,10,10,4.9
ID302,3,10,8.7,6,10,5.8,9.9
ID641,2,10,9.6,4.9,4.7,7,10
ID476,4,8.8,10,6.3,7.2,7.6,4.8
ID530,4,8.2,7.2,10,6.3,6.1,10
ID785,5,9.5,6.6,8.4,5.3,3.1,8
ID565,4,7.8,4.7,10,9.1,2.3,9.4
ID743,4,10,7.9,8.3,5.8,1.2,8.1
ID396,3,5.2,0.7,9.3,5.3,4.7,9.9
ID726,3,10,4.1,5.5,8.1,10,8.3
ID919,2,3.7,5.6,7.3,10,7.4,10
ID535,2,10,7.6,3,5.7,2.4,10
ID130,5,6.9,5.6,6.2,4.2,7.1,10
ID256,2,5.5,4,7.3,7.8,1.7,8.8
ID754,3,7,3.4,6.7,4.9,1.8,8.3
ID102,4,8.1,10,10,2.2,1.9,6.3
ID775,3,9.1,9.1,7.4,6,8,9.7
ID856,4,10,6.1,4.1,10,7.8,6.2
ID303,5,6.2,5.2,10,2.5,6,9.5
ID547,3,10,5.4,9.2,8.1,9.9,9.4
ID959,4,5.7,8.1,9.2,8,7.8,5.6
ID922,1,6.4,5.8,7.9,3.8,3.1,7.5
ID966,4,10,7.2,8.1,3.2,10,8.8
ID344,4,10,9.8,6.3,9.8,7.9,5
ID155,5,8.4,5.8,10,3.3,4.6,9
ID432,2,4,7.8,6.9,9.5,6.1,6.5
ID908,2,4.9,8.5,7.3,7.8,7.1,4.7
ID97,3,9.8,10,2.4,8.5,1.5,4.2
ID668,3,6.9,10,9.2,9,5.6,9.7
ID878,4,7.4,5,10,5,9.8,10
ID560,4,6.1,7.3,8.5,9.5,6.3,10
ID854,3,6.7,10,9.4,6.4,4,5.2
ID449,5,2.8,10,10,5.5,2.1,10
ID523,1,10,4.4,7.1,3.7,6.4,6.9
ID208,4,10,5.4,6.3,6.4,4.1,8.6
ID30,2,8.7,6.6,7.4,8.8,6.5,7.7
ID459,4,9.7,2.6,5.2,10,3.3,6.8
ID606,3,6.8,5,6.5,7.4,0.7,8.7
ID747,3,7.3,8.5,5.7,7.6,10,6.3
ID409,3,5.8,7.5,6.3,6.9,8.8,4.7
ID376,3,9.8,8.2,9.5,4.6,9.7,9.1
ID283,4,7.6,0,9.7,5.7,6.2,7.5
ID778,4,8,9.8,8,3.7,7.6,6.9
ID453,2,10,3,1.7,7.6,7.2,9
ID194,3,6.6,8.6,7.4,6.9,5.9,7.3
ID701,2,9.6,3.4,5.1,2.9,9.7,4.3
ID353,1,8.3,2.7,2.7,3.9,10,10
ID257,3,5.5,2,5,10,6.9,7.7
ID997,5,10,9.9,8.7,3.4,6.3,10
ID791,3,7.2,7.2,5.7,6.6,3.4,10
ID581,2,8.3,7.2,3.5,10,6.5,7.7
ID835,4,3.9,10,6.4,8.3,10,4
ID47,2,9.2,5,2.2,5.8,7.8,9
ID576,3,8,9.1,7.3,8.5,1.5,6.1
ID296,3,5.3,3.4,4.5,10,5.4,10
ID380,4,5.1,8.2,9.2,6.6,9.5,3.4
ID965,1,9.1,0.8,4,3.6,7.2,9.1
ID842,3,7.5,3.7,7.7,6.3,7,9.4
ID592,3,4.9,4.3,9.9,8.7,10,10
ID35,3,10,8.2,10,5.3,7,10
ID809,3,10,4.8,0,9.8,0.5,5.6
ID893,5,7.6,7.3,10,3.7,4,7
ID272,3,8.7,5.9,7.5,4.9,7,3.6
ID358,3,7.7,7.4,7.3,5.9,5.8,7.6
ID709,3,7.8,5.3,6.8,8.5,9.4,6.8
ID728,2,4,2.8,4,9.8,8.4,9.3
ID70,3,9.5,5.6,7.4,7.4,7.1,9.9
ID934,3,7.7,10,4.1,7.1,9.7,9
ID244,3,2.9,10,10,6.5,8,7.9
ID558,3,5.9,8.5,7.1,7,4,10
ID603,4,10,8.7,6.1,6.4,3.6,8.7
ID889,4,10,8.1,9.6,10,6.7,7.2
ID105,3,5,5.1,5,9.5,8.9,7.3
ID465,3,5.7,10,7,2.1,6.1,8
ID777,4,7.3,8,8,2.2,4.4,7.7
ID211,4,9.7,5.3,6.2,6.6,5.1,9.6
ID240,3,10,4.1,9.6,8,5.8,10
ID546,4,7.7,4.7,5.9,10,1.7,10
ID238,3,8.6,8.2,7.9,2.6,5,9.1
ID685,3,5.3,6.7,9.1,6.8,6.9,10
ID882,4,10,6.7,5,6.2,8.2,9.1
ID849,3,5.2,9.7,10,1.8,10,8.4
ID587,3,3.7,7.6,4.3,8.1,10,9
ID219,3,9.6,8.8,9.5,7.7,5.2,6.8
ID781,3,5.5,2.2,8.2,4.7,6.3,10
ID250,3,7.6,7.6,6.3,8.1,7.4,7.7
ID13,3,7.1,5.6,3.3,9,1.4,9.3
ID42,3,7.6,6.3,8.8,7.9,7.2,6
ID297,3,8.5,4.8,10,6.3,7.5,7.3
ID266,2,4.8,7,7.1,4.8,8,7.9
ID108,3,5,5.5,5,7.2,9.2,6.9
ID430,3,5.6,5.5,1.3,7.5,2.8,6.2
ID335,3,9.6,6.6,4.5,7.4,6.9,3.7
ID160,3,9.8,9.4,0.8,4.4,2.8,10
ID73,3,10,0,8.8,1.9,4.9,10
ID3,3,3.3,5,8,6.1,5.7,6.9
ID519,2,7.9,3.1,4.3,6.9,7.5,9.6
ID308,3,7.5,3.3,9.6,4.6,7.7,6.4
ID66,2,7.2,10,8.3,8.4,9.2,9.3
ID689,3,7.6,8.3,6.1,7.7,9.2,9.7
ID365,2,6.4,8.4,5.1,10,7.2,10
ID456,2,4.6,5.1,4.9,7.3,5.9,10
ID675,4,8.9,9.2,8.8,6,8.7,10
ID684,3,9.5,5.8,6.3,6.5,5.5,7.1
ID451,4,7.3,5.2,8.2,8.2,10,8.3
ID680,4,8.5,5.2,10,5.3,10,9.9
ID722,3,10,6.2,4.8,5.7,5.9,6.6
ID904,2,6,7.3,4.4,6.3,10,8.3
ID939,4,8.5,4.8,6.2,4.4,3.7,8
ID407,4,9.4,4.9,7.7,3,6.7,3.5
ID90,3,6.4,5.6,10,7.1,10,8.8
ID556,3,7.3,9.2,6.4,8.3,4.8,10
ID979,3,5.7,10,3.7,3.8,9.6,10
ID71,2,5.5,7,6,9.1,3.3,7.9
ID466,3,10,10,7.5,10,2.2,9.3
ID927,4,9.7,6.2,9,5,9.6,8.8
ID690,3,6.3,9.3,8.4,8.1,0.9,3.6
ID795,3,4.3,7.2,7,3.3,6.8,6.8
ID654,1,4.5,10,10,8.5,3.9,10
ID898,3,7.3,8.2,8.5,10,5.9,10
ID783,3,7.2,5.8,7.5,7.8,7.8,9.2
ID891,3,8.5,6,7.7,3.7,6.5,9.4
ID843,4,5.3,10,8.3,4,0,10
ID1,2,8.1,7,3.7,7.1,2.4,10
ID818,2,9.6,3.2,3.9,10,5.3,5.7
ID292,2,5.4,7.5,5.8,4.1,4.3,10
ID698,2,7,6.4,5.3,10,5.5,10
ID165,2,3.5,7.3,5.9,3.7,8,2.9
ID974,5,7.5,8.6,10,7.5,4.6,9.1
ID374,2,7.2,4.5,1.5,9.6,8.6,6.5
ID782,3,6.9,4.7,8.3,5.4,9.7,4.2
ID411,3,8.7,6.5,10,4.7,7.7,5
ID989,3,6.8,9.7,7.8,7.6,6.9,7.7
ID700,5,10,7.7,8.6,6.8,5.8,8.9
ID392,2,8.9,7.6,4.7,10,10,9.1
ID349,2,5.9,5,6.8,9.5,3.8,9.4
ID635,5,8.7,10,7.3,4.3,6.8,10
ID12,3,10,9,9.8,7.9,7.3,5.4
ID146,3,6.3,2.4,7.6,8.1,8.9,10
ID513,4,7.7,8,10,2.1,10,5.4
ID803,2,2.2,6.2,5.6,10,6.3,6.4
ID143,1,5.8,7.6,5.5,10,7.3,8.6
ID382,3,6.5,7.9,6.2,9,1.1,10
ID746,3,6.6,2,9.7,2.5,10,8.2
ID318,3,5.4,1.9,4.2,10,7.9,9.2
ID740,3,6.1,6.5,5.4,8,8,9.3
ID207,3,7.3,3.8,7,5.7,10,8.6
ID225,3,7.2,5.9,6.1,6.3,7,6
ID850,4,5.7,8.4,7.5,6.1,2.6,10
ID276,3,9.2,0,4.9,9.4,6.3,5.6
ID952,4,9.5,0.8,4.9,6.6,7.4,7.9
ID9,2,2.6,10,9.3,5.8,2.6,7.6
ID727,3,3.9,2.4,8.1,7.3,3.9,9.3
ID248,3,9.7,5.4,7.1,9.7,3.4,5.2
ID933,4,6.5,8.8,7.4,6.1,7.3,9.6
ID420,2,4.9,4,3,4,6.2,10
ID655,1,7.1,5.9,5.7,1.1,10,8.4
ID925,3,10,4.7,6.8,4.5,6.8,6.6
ID107,3,10,10,10,6.2,5.5,7.8
ID526,5,9,9,5.6,4.1,9.7,10
ID736,4,6.6,10,8.9,2.8,5.8,10
ID31,2,7.3,10,9.1,8.4,8.9,10
ID497,3,7.5,6.3,6,9.2,6.7,8.1
ID332,3,7.9,10,10,9.1,10,6.3
ID699,3,10,5,5.8,3.3,3.9,2.4
ID541,3,9.5,5.2,5.8,8.7,7.2,8.9
ID379,4,7.2,7.1,9,7.4,4.2,5.5
ID424,3,6.8,6.1,7.3,6.4,8.6,8.7
ID201,3,7.9,4.7,7.3,7.8,3.8,6.8
ID235,3,1,10,8,7.7,8.5,7.7
ID359,2,6,7,3.4,8.6,10,10
ID691,4,7.9,9.6,10,3.5,4.9,10
ID19,2,8.3,10,8.5,10,8.9,8.8
ID18,4,1.5,7.2,10,10,10,8
ID646,3,8.8,5.2,2,7.8,9.5,7.3
ID766,4,5.1,8.9,9.6,6.7,10,10
ID289,3,2.6,4.3,5.2,10,8.3,10
ID661,4,9.2,4.9,10,5.3,4.9,7.6
ID212,3,3.7,6.1,8.7,10,1.5,9.2
ID525,4,8.7,10,7.6,4.4,9.8,3.3
ID488,3,4.3,3.9,4.9,3.8,7.7,6.5
ID269,5,1.4,7.8,10,7,7.4,4.1
ID181,3,7.9,4.8,8.9,5.1,4.2,10
ID822,3,4.6,7.3,4.8,10,4.7,7.9
ID259,2,4.5,2.8,5.4,7.1,3.6,5.8
ID144,4,7.2,3.5,7.6,10,9.1,3.3
ID676,4,6.2,9.7,7.6,9.7,3.8,7.3
ID696,3,4.6,6.1,6.3,1.4,7,2.6
ID599,3,5.1,3.8,3.6,5,4.4,7.1
ID101,4,7.4,8.6,10,7.1,3.8,10
ID464,4,6.5,10,4.1,8.5,5.6,2.3
ID865,4,10,9.3,7.4,5.5,8.2,7.8
ID230,4,10,10,10,8.1,5.2,7.7
ID132,4,9.8,8.7,4,10,3.9,4.9
ID333,2,8.8,4.9,2.7,8.8,2.9,9.9
ID401,3,9.2,4.2,3.7,5,8.1,8.1
ID938,3,7.7,7.5,8,6.2,8.1,9.1
ID461,4,4.7,9.8,9,7.1,4.4,7.2
ID798,2,0,5.3,3,7,3,10
ID903,1,9.7,5.1,5.4,10,0.8,9.4
ID769,4,8,8.8,6.5,4.6,7.5,9
ID98,5,9.7,5.8,10,7,1.5,5.8
ID554,3,9.1,8.9,7.9,6.2,9,10
ID628,1,7.9,8.5,7.7,8.7,10,5
ID274,3,10,1.1,7.8,5.5,5.4,9.8
ID626,3,6.9,9.9,8.5,8.4,8.2,8.4
ID425,3,4.3,6.3,2.6,10,6.9,9.1
ID103,3,7,4.2,7,6.5,6.5,5.6
ID415,1,3.6,4.2,4.7,5.6,5.7,8
ID986,4,8.1,4.8,3.8,8.5,1.5,10
ID909,3,10,5.9,9.1,10,5.4,10
ID679,3,8.1,2,3.5,1.9,6.9,8.4
ID81,3,10,6.2,7.6,7,5.3,5.2
ID89,3,4.7,5.6,5.5,6.7,6.5,9.2
ID614,1,6.8,2.5,10,6.5,10,8.1
ID516,1,6.7,5.1,2.2,6.6,10,10
ID287,3,7,2.7,4.7,5.6,5.8,7.7
ID435,4,6.1,10,9.9,3.9,7.4,9.7
ID805,3,2.9,7.2,4.4,6.8,5.8,3.1
ID901,4,10,10,2,4.2,7,10
ID439,2,7.5,9.3,3.3,8.4,0,10
ID579,4,5.2,4,8.8,3.6,5.6,6.1
ID601,3,8.9,7.1,4.1,3.8,0.2,8.1
ID384,5,7.2,8.6,7.4,7.1,7.2,7.7
ID618,2,4.9,10,7.2,9.8,2.5,9.2
ID457,5,8.7,5.7,6.2,6.3,6.3,7.4
ID290,2,5.8,6.7,2.1,9.6,6.4,6.7
ID537,3,9.7,8.1,2.9,6.8,8.3,7.4
ID226,3,8.1,6.6,9,8.7,10,10
ID93,3,4.2,9.4,7.7,5.5,7,9.8
ID11,3,6.1,9.4,10,2.7,5.8,10
ID56,3,6.8,5,10,3.7,7.3,10
ID527,5,4.3,4.4,6.2,4.7,6.7,10
ID264,3,4,8.5,8.5,6.5,10,7.7
ID79,3,8.9,7.8,8.9,10,7.3,6
ID216,2,4.3,7.7,4.4,7.3,5.2,4.4
ID450,1,4.7,8,4.6,5.1,10,10
ID471,3,4.9,7.2,5.2,9.2,8.4,7.8
ID799,3,8.3,7.6,6.4,9.9,4.6,10
ID863,3,7,5.7,10,7.5,8.2,10
ID575,4,10,5.9,7.3,7.9,4.6,8.5
ID753,2,8.7,0.4,6.6,5.3,6.3,8.6
ID687,3,8.1,6.1,8.9,5.9,8.3,8.8
ID703,5,6.7,7.3,9.1,7.2,1.7,10
ID734,3,8.6,10,6,7,5.1,6.6
ID971,5,5.3,8.2,6.8,6.4,4.5,5.2
ID892,3,6.9,6.5,9.5,10,5.6,6.6
ID512,3,1.3,0.3,10,10,2,9.8
ID570,3,3.3,6.2,5,4.6,4.7,9
ID263,3,8,5.6,6.1,9.9,5.6,10
ID551,3,4.9,7.8,8.8,4,4.1,8.7
ID830,4,5.9,7.1,10,5.1,5.6,9.2
ID67,3,6.1,8.8,7.1,10,0,8.3
ID270,3,8.3,3.6,7.5,7.2,4.7,10
ID53,3,7.2,10,7,6.3,7.4,9.7
ID300,5,10,9.7,10,8.7,5.6,9.6
ID723,3,9.4,8.1,8.1,7.5,10,3.4
ID463,3,10,1.2,10,1.9,8.2,4.9
ID85,5,4.1,3.2,9.8,4.5,10,4.2
ID907,3,7,4.4,10,4.5,10,7.3
ID426,3,4.9,10,7.3,5.9,6.4,10
ID474,3,3.7,10,9,4.5,6.1,10
ID346,3,4.6,5.5,2.8,4.6,4.9,10
